Clothing_Barcode,Clothing_Category,LocationID,Selling_Price,Clothing_Type,Clothing_Description,Clothing_Brand,Clothing_Size,Clothing_Color,Clothing_Gender,Clothing_Condition
1,5,1,10,Shirt,Small brown phish shirt - 1997,Concert,S,Brown,Male,Poor
2,3,1,25,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
3,1,1,15,Shirt,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
4,1,1,25,Pants,classic jenes,Levy,34,Blue,Male,Fair
5,2,1,30,Pants,Drapey paper bag pants,Madewell,6,Orange,Female,Great
6,6,1,15,Jacket,Solid dual pocket denim,Levy,M,Blue,Female,Poor
7,1,3,10,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
8,3,3,20,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
9,6,3,40,Jacket,Puffy winter coat,Volcom,L,Red,Male,Good
10,1,3,20,Shoes,classic vans,Vans,11,Red,Male,Good
11,1,3,20,Shoes,classic vans,Vans,10,Black,Male,Good
12,3,3,45,Shoes,stomper boots,black,8,Black,Female,Great
13,3,3,20,Dress,light twirly dress,Free People,4,Pink,Female,Good
14,1,3,10,Jacket,Classic jene jacket,Levy,L,Blue,Unisex,Fair
15,1,3,17,Sweatshirt,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
16,5,2,7,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Poor
17,5,2,9,Shirt,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
18,5,1,45,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
19,1,1,10,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Poor
20,3,1,40,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Great
21,4,3,35,Shoes,Old cowboy boots,Tough,13,Brown,Male,Good
22,3,3,36,Shoes,High Heels Red,Vanity,6,Red,Female,Great
23,1,3,18,Shirt,Classic Levy Shirt,Levy,M,Grey,Female,Fair
24,1,3,22,Shorts,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
25,1,3,30,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
26,6,1,12,Hat,Carhart logo hat,Carhart,M,Brown,Unisex,Good
27,5,2,22,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Poor
28,5,1,40,Pants,Old trendy black high waisted,Levy,30,Black,Female,Good
29,1,1,32,Sweatshirt,Australian beach sweatshirt,Champion,L,Grey,Unisex,Good
30,1,1,30,Shorts,Short shorts jene style,Levy,29,Blue,Female,Great
31,5,1,10,Shirt,Small brown phish shirt - 1997,Concert,S,Brown,Male,Poor
32,3,1,25,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
33,1,1,15,Shirt,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
34,1,1,25,Pants,classic jenes,Levy,34,Blue,Male,Fair
35,2,3,30,Pants,Drapey paper bag pants,Madewell,6,Orange,Female,Great
36,6,3,15,Jacket,Solid dual pocket denim,Levy,M,Blue,Female,Poor
37,1,3,10,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
38,3,3,20,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
39,6,3,40,Jacket,Puffy winter coat,Volcom,L,Red,Male,Good
40,1,3,20,Shoes,classic vans,Vans,11,Red,Male,Good
41,1,3,20,Shoes,classic vans,Vans,10,Black,Male,Good
42,3,3,45,Shoes,stomper boots,black,8,Black,Female,Great
43,3,3,20,Dress,light twirly dress,Free People,4,Pink,Female,Good
44,1,3,10,Jacket,Classic jene jacket,Levy,L,Blue,Unisex,Fair
45,1,3,17,Sweatshirt,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
