Fabric_ID,Fabric_Type,Fabric_Weight,Stitch_Type,Num_Layers,Num_Threads,Fabric_Thickness
1,Polyester,5.34,Overlock,3,90,0.0008
2,Silk,8.99,Topstitching,4,120,0.001
3,Cotton,5.04,Overlock,2,80,0.0008
4,Polyester,5.34,Overlock,1,80,0.0008
5,Cotton,14.99,Upholstery,5,150,0.01
6,Linen,9.08,Upholstery,6,200,0.011
7,Cotton,13.23,Upholstery,5,120,0.0092
8,Cotton,5.34,Overlock,2,100,0.0009
9,Polyester,5.34,Overlock,1,80,0.0008
10,Wool,7.78,Woven,4,80,0.015
11,Cotton,8.89,Straight,3,250,0.21
12,Canvas,13.67,Topstitching,5,150,0.0081
13,Canvas,13.67,Topstitching,5,150,0.0081
14,Leather,8,Two Needle,1,20,0.1093
15,Satin,5.34,Twill,2,100,0.0081
16,Lace,4.11,Embroidery,1,60,0.007
17,Cotton,16.7,Upholstery,5,150,0.203
18,Cotton,8.88,Overlock,3,100,0.00102
19,Polyester,5.34,Overlock,2,90,0.0008
20,Cotton,5.11,Overlock,2,90,0.0009
21,Polyester,5.21,Overlock,1,80,0.0007
22,Cotton,5.34,Topstitching,3,100,0.0021
23,Cotton,5.34,Overlock,3,120,0.0007
24,Silk,8.84,Topstitching,4,140,0.002
25,Leather,8,Two Needle,1,20,0.1134
26,Leather,9,Two Needle,1,20,0.10011
27,Cotton,5.34,Overlock,3,150,0.0001
28,Polyester,4.44,Overlock,2,80,0.00045
29,Cotton,7.77,Topstitching,6,90,0.00326
30,Polyester,6.67,Topstitching,4,110,0.00034
31,Canvas,13.33,Topstitching,5,70,0.0098
32,Canvas,12.11,Topstitching,5,90,0.0118
33,Cotton,16.12,Upholstery,5,100,0.0192
34,Cotton,9.83,Overlock,7,150,0.00567
35,Cotton,13.12,Upholstery,6,120,0.021
36,Polyester,5.34,Overlock,3,90,0.0008
37,Silk,8.99,Topstitching,4,120,0.001
38,Cotton,5.04,Overlock,2,80,0.0008
39,Polyester,5.34,Overlock,1,80,0.0008
40,Cotton,14.99,Upholstery,5,150,0.01
41,Linen,9.08,Upholstery,6,200,0.011
42,Cotton,13.23,Upholstery,5,120,0.0092
43,Cotton,5.34,Overlock,2,100,0.0009
44,Polyester,5.34,Overlock,1,80,0.0008
45,Wool,7.78,Woven,4,80,0.015
46,Cotton,8.89,Straight,3,250,0.21
47,Canvas,13.67,Topstitching,5,150,0.0081
48,Canvas,13.67,Topstitching,5,150,0.0081
49,Leather,8,Two Needle,1,20,0.1093
50,Satin,5.34,Twill,2,100,0.0081
51,Lace,4.11,Embroidery,1,60,0.007
52,Cotton,16.7,Upholstery,5,150,0.203
53,Cotton,8.88,Overlock,3,100,0.00102
54,Polyester,5.34,Overlock,2,90,0.0008
55,Cotton,5.11,Overlock,2,90,0.0009
56,Polyester,5.21,Overlock,1,80,0.0007
57,Cotton,5.34,Topstitching,3,100,0.0021
58,Cotton,5.34,Overlock,3,120,0.0007
59,Silk,8.84,Topstitching,4,140,0.002
60,Leather,8,Two Needle,1,20,0.1134
61,Leather,9,Two Needle,1,20,0.10011
62,Cotton,5.34,Overlock,3,150,0.0001
63,Polyester,4.44,Overlock,2,80,0.00045
64,Cotton,7.77,Topstitching,6,90,0.00326
65,Polyester,6.67,Topstitching,4,110,0.00034
66,Canvas,13.33,Topstitching,5,70,0.0098
67,Canvas,12.11,Topstitching,5,90,0.0118
68,Cotton,16.12,Upholstery,5,100,0.0192
69,Cotton,9.83,Overlock,7,150,0.00567
70,Cotton,13.12,Upholstery,6,120,0.021
71,Polyester,5.34,Overlock,3,90,0.0008
72,Silk,8.99,Topstitching,4,120,0.001
73,Cotton,5.04,Overlock,2,80,0.0008
74,Polyester,5.34,Overlock,1,80,0.0008
75,Cotton,14.99,Upholstery,5,150,0.01
76,Linen,9.08,Upholstery,6,200,0.011
77,Cotton,13.23,Upholstery,5,120,0.0092
78,Cotton,5.34,Overlock,2,100,0.0009
79,Polyester,5.34,Overlock,1,80,0.0008
80,Wool,7.78,Woven,4,80,0.015
81,Cotton,8.89,Straight,3,250,0.21
82,Canvas,13.67,Topstitching,5,150,0.0081
83,Canvas,13.67,Topstitching,5,150,0.0081
84,Leather,8,Two Needle,1,20,0.1093
85,Satin,5.34,Twill,2,100,0.0081
86,Lace,4.11,Embroidery,1,60,0.007
87,Cotton,16.7,Upholstery,5,150,0.203
88,Cotton,8.88,Overlock,3,100,0.00102
89,Polyester,5.34,Overlock,2,90,0.0008
90,Cotton,5.11,Overlock,2,90,0.0009
91,Polyester,5.21,Overlock,1,80,0.0007
92,Cotton,5.34,Topstitching,3,100,0.0021
93,Cotton,5.34,Overlock,3,120,0.0007
94,Silk,8.84,Topstitching,4,140,0.002
